#,Produit,Marque,Catégorie,Tier,Actif,Prix $,Note,Avis,BSR,Acheté/mois,Ingrédients?,ASIN
38,LRP Anthelios Tinted Mineral Sunscreen,La Roche Posay,SPF,moyen,minéral teinté,29.98,4.4,31521,205,4K+ bought in past month,non,B0CZP6FLPK
39,EltaMD UV Daily Tinted SPF 40,EltaMD Skin Care,SPF,moyen,teinté,,4.6,43801,97,,non,B0D1YQ9881
40,Supergoop! Unseen Sunscreen,Supergoop! LLC,SPF,premium,chimique invisible,24.7,4.6,19185,291,20K+ bought in past month,non,B0DPNL864S
41,ISDIN Eryfotona Actinica SPF 50,ISDIN,SPF,premium,minéral,51.1,4.6,5509,2780,2K+ bought in past month,non,B07RXS4FQM
42,LRP Anthelios UV Hydra SPF 50,Factory ZAN - US FRANKLIN,SPF,moyen,chimique invisible,29.98,4.7,786,2594,5K+ bought in past month,non,B0CM4JVK6H
43,Garnier SkinActive Micellar Water,Garnier,Démaquillant,éco,eau micellaire,8.35,4.7,73366,57,50K+ bought in past month,oui,B017PCGABI
44,CeraVe Hydrating Foaming Oil Cleanser,CeraVe,Démaquillant,éco,huile/céramides,15.99,4.6,5738,1499,8K+ bought in past month,oui,B0C7J7CWBN
45,The INKEY List Oat Cleansing Balm,The INKEY List,Démaquillant,éco,baume avoine,13,4.2,4836,9535,2K+ bought in past month,non,B08GJ58Z6M
46,Bioderma Sensibio H2O,Bioderma,Démaquillant,moyen,eau micellaire,16.79,4.7,58326,146,10K+ bought in past month,non,B002XZLAWM
47,DHC Deep Cleansing Oil,DHC,Démaquillant,moyen,huile d'olive,16,4.6,24184,1055,10K+ bought in past month,oui,B001UE60E0
49,Farmacy Green Clean Cleansing Balm,Farmacy Beauty,Démaquillant,premium,baume,21.6,4.6,8529,2412,2K+ bought in past month,oui,B07CV28SSD
50,Clinique Take The Day Off Cleansing Balm,Clinique,Démaquillant,premium,baume,15,4.7,6714,4373,2K+ bought in past month,non,B07F1LRBCF
51,Then I Met You Living Cleansing Balm,Soko,Démaquillant,premium,baume,29.25,4.5,601,15784,1K+ bought in past month,oui,B0B5W7KRWL
52,The Ordinary Salicylic Acid 2% Solution,DECIEM,Exfoliant — BHA / AHA / mécanique,éco,BHA,6.7,4.7,10914,231,40K+ bought in past month,non,B0C3PCJ6SD
53,COSRX BHA Blackhead Power Liquid,COSRX Inc.,Exfoliant — BHA / AHA / mécanique,éco,BHA,13.99,4.5,4259,4322,4K+ bought in past month,oui,B00OZEJ8R8
54,Stridex Maximum Strength Pads,BLISTEX INC,Exfoliant — BHA / AHA / mécanique,éco,BHA 2%,4.68,4.7,9650,963,10K+ bought in past month,oui,B000O1KP1O
55,Paula's Choice 2% BHA Liquid Exfoliant,Paulas Choice,Exfoliant — BHA / AHA / mécanique,moyen,BHA,25.9,4.5,114871,59,90K+ bought in past month,non,B00949CTQQ
56,Naturium BHA Liquid Exfoliant 2%,Naturium,Exfoliant — BHA / AHA / mécanique,moyen,BHA encapsulé,14.44,4.4,3211,10338,1K+ bought in past month,oui,B08881VH6J
57,The Ordinary Glycolic Acid 7% Toning,DECIEM,Exfoliant — BHA / AHA / mécanique,éco,AHA glycolique,13.5,4.7,54390,6,100K+ bought in past month,non,B071914GGL
58,The Ordinary Lactic Acid 10% + HA,DECIEM,Exfoliant — BHA / AHA / mécanique,éco,AHA lactique,9.2,4.6,7772,4267,6K+ bought in past month,oui,B07NDNPCKW
59,The Ordinary Mandelic Acid 10% + HA,DECIEM,Exfoliant — BHA / AHA / mécanique,éco,AHA mandélique,7.8,4.6,4345,3875,6K+ bought in past month,non,B07BGJMNYL
60,Pixi Glow Tonic,Pixi,Exfoliant — BHA / AHA / mécanique,éco,AHA glycolique 5%,29,4.6,5730,15886,600+ bought in past month,oui,B00KH6QX08
61,Good Molecules Mandelic Acid Serum,"Good Molecules, LLC",Exfoliant — BHA / AHA / mécanique,éco,AHA mandélique,,4.6,903,58820,,non,B0D6TWLB6T
62,Paula's Choice 8% AHA Gel Exfoliant,Paula's Choice,Exfoliant — BHA / AHA / mécanique,moyen,AHA glycolique,37,4.4,3693,23692,500+ bought in past month,non,B00949CO66
63,Drunk Elephant T.L.C. Framboos,Drunk Elephant,Exfoliant — BHA / AHA / mécanique,premium,AHA/BHA,90,4.5,1208,58589,200+ bought in past month,non,B00L3LDDD6
64,Sunday Riley Good Genes Lactic Acid,Sunday Riley,Exfoliant — BHA / AHA / mécanique,premium,AHA lactique,51,4.6,3252,5753,2K+ bought in past month,non,B0037LRZHA
65,Cetaphil Extra Gentle Daily Scrub,Galderma,Exfoliant — BHA / AHA / mécanique,éco,mécanique doux,13.66,4.6,9211,3303,5K+ bought in past month,oui,B077FZ112C
66,First Aid Beauty Facial Radiance Polish,First Aid Beauty,Exfoliant — BHA / AHA / mécanique,moyen,enzymatique/AHA,,4.5,309,1056872,,non,B00CJBR8BC
67,Dermalogica Daily Microfoliant,Dermalogica,Exfoliant — BHA / AHA / mécanique,premium,enzymatique (riz),69,4.7,3674,7745,2K+ bought in past month,non,B071ZBJPH7
68,Tatcha The Rice Polish,Tatcha,Exfoliant — BHA / AHA / mécanique,premium,enzymatique,48.28,4.7,725,21822,400+ bought in past month,non,B092MTC96K
69,Pixi Peel & Polish,Pixi,Exfoliant — BHA / AHA / mécanique,moyen,enzymatique (fruits),21,4.5,166,116624,,oui,B09SGR2F3S
70,The Ordinary Niacinamide 10% + Zinc 1%,DECIEM,Sérum,éco,niacinamide,6,4.7,58745,37,100K+ bought in past month,non,B01MDTVZTZ
71,Paula's Choice BOOST 10% Niacinamide,Paula's Choice,Sérum,moyen,niacinamide,34.3,4.5,1514,15330,2K+ bought in past month,non,B01GF1EOB8
72,Beauty of Joseon Glow Serum (Propolis/Niacinamide),Beauty of Joseon,Sérum,éco,niacinamide/propolis,11.9,4.6,1450,2778,5K+ bought in past month,oui,B0F8LBX37X
73,Maelove The Glow Maker,MAELOVE,Sérum,éco,vit C (L-AA 15%),31.9,4.4,1179,3598,6K+ bought in past month,oui,B0CWN226NC
74,Timeless 20% Vitamin C + E + Ferulic,Timeless Skin Care,Sérum,éco,vit C,16.17,4.3,13022,406,10K+ bought in past month,oui,B0036BI56G
75,Naturium Vitamin C Complex,Naturium,Sérum,moyen,vit C,15.95,4.6,8070,1028,10K+ bought in past month,oui,B07Y469VXX
77,The Ordinary Azelaic Acid 10%,DECIEM,Sérum,éco,azélaïque,12.2,4.5,7357,77,80K+ bought in past month,non,B06WD5J8KY
78,Paula's Choice BOOST 10% Azelaic Acid,Paula's Choice,Sérum,moyen,azélaïque,39,4.3,6168,1511,10K+ bought in past month,non,B00V4PNAI4
79,The Ordinary Hyaluronic Acid 2% + B5,The Ordinary,Sérum,éco,acide hyaluronique,9.9,4.7,37345,34,100K+ bought in past month,non,B01MYEZPC8
80,La Roche-Posay Hyalu B5 Serum,La Roche-Posay,Sérum,moyen,HA/madécassoside,28.47,4.6,35477,357,20K+ bought in past month,non,B075VX4QVM
81,Vichy Minéral 89,Vichy,Sérum,moyen,acide hyaluronique,22.49,4.6,46978,2291,5K+ bought in past month,non,B06XC5PQGL
82,Drunk Elephant B-Hydra,Drunk Elephant,Sérum,premium,HA/pro-vit B5,54,4.6,2461,25285,800+ bought in past month,non,B01B9OEDKS
83,Purito Centella Unscented Serum,HINATURE Inc,Sérum,éco,centella,27.99,4.5,2482,185097,50+ bought in past month,oui,B081ZQFNBK
84,La Roche-Posay Cicaplast Baume B5,La Roche-Posay,Sérum,moyen,panthénol/madécassoside,14.23,4.7,21446,68,50K+ bought in past month,non,B0060OUV5Y
85,Dr. Jart+ Cicapair Serum,Dr.Jart+,Sérum,premium,centella,43.2,4.5,165,36455,400+ bought in past month,non,B0D2GPJF6H
86,The Ordinary Multi-Peptide + HA (« Buffet »),DECIEM,Sérum,éco,peptides,19.9,4.7,2522,1534,10K+ bought in past month,non,B0BLHW7JZM
87,Naturium Multi-Peptide Advanced Serum,Naturium,Sérum,moyen,peptides,18.99,4.6,976,4229,5K+ bought in past month,non,B0CQTSM65J
88,The Ordinary Alpha Arbutin 2% + HA,DECIEM,Sérum,éco,arbutine,11.5,4.5,7108,1238,10K+ bought in past month,non,B06XCZFCFZ
89,Good Molecules Discoloration Correcting Serum,Good Molecules,Sérum,éco,ac. tranexamique,11.94,4.4,15192,487,20K+ bought in past month,oui,B08RJ4ZHXJ
90,Naturium Tranexamic Topical Acid 5%,Naturium,Sérum,moyen,ac. tranexamique,12.15,4.2,3317,3774,6K+ bought in past month,oui,B086YZRHH7
91,The Ordinary Retinol 0.2% in Squalane,DECIEM,Traitement,éco,rétinol (débutant),8.1,4.6,4790,4530,5K+ bought in past month,non,B077DWJ4H5
92,The Ordinary Granactive Retinoid 2% Emulsion,DECIEM,Traitement,éco,rétinoïde doux,12.1,4.6,4761,1722,10K+ bought in past month,non,B071HHSMTT
93,CeraVe Resurfacing Retinol Serum,CeraVe,Traitement,éco,rétinol,17.74,4.6,56320,431,30K+ bought in past month,oui,B07VWSN95S
94,Differin Adapalene Gel 0.1%,"Galderma Laboratories, Inc",Traitement,éco,adapalène,9.97,4.5,71104,270,20K+ bought in past month,oui,B07L1PHSY9
95,RoC Retinol Correxion Deep Wrinkle Night,RoC,Traitement,éco,rétinol,21.97,4.4,23899,1253,9K+ bought in past month,oui,B00027DMI8
96,Paula's Choice CLINICAL 1% Retinol Treatment,Paula's Choice,Traitement,moyen,rétinol,45.5,4.3,5484,5084,5K+ bought in past month,non,B00L5O2ZXK
97,Olay Regenerist Retinol24 Night,AmazonUs/PRFZ7,Traitement,moyen,rétinol,29.94,4.6,15563,1216,10K+ bought in past month,oui,B07XQBY5QQ
98,Drunk Elephant A-Passioni Retinol Cream,Drunk Elephant,Traitement,premium,rétinol 1%,76,4.5,348,50175,200+ bought in past month,non,B08TGGGZM5
99,Medik8 Crystal Retinal 3,Medik8,Traitement,premium,rétinal,48.75,4.4,773,3580,2K+ bought in past month,oui,B0BHX7NYJG
100,Avène Retrinal 0.1 Intensive,Pierre Fabre,Traitement,premium,rétinal,47.6,4.5,489,5627,2K+ bought in past month,non,B0DPNMY8WR
101,PanOxyl Acne Foaming Wash 10% BPO,"Crown Laboratories, Inc.",Traitement,éco,peroxyde de benzoyle,9.07,4.6,81391,12,100K+ bought in past month,oui,B081KL2QYJ
102,La Roche-Posay Effaclar (acné),Factory EU - France COSMETIQUE ACTIVE PRODUCTION,Traitement,moyen,acide salicylique,18.79,4.7,906,4636,5K+ bought in past month,non,B0F3CD1Y9B
103,Naturium Azelaic Topical Acid 10%,Naturium,Traitement,moyen,azélaïque,15.19,4.4,5206,1728,9K+ bought in past month,oui,B086Z6T13D
104,Murad Rapid Dark Spot Correcting Serum,Murad,Traitement,premium,tranexamique/glycolic,58.8,4.2,2159,11037,1K+ bought in past month,non,B08KR79NBR
106,Aztec Secret Indian Healing Clay,Aztec Secret,Masque,éco,argile bentonite,15.95,4.6,28824,27019,800+ bought in past month,oui,B00S7ZPB8Q
107,The Ordinary Salicylic Acid 2% Masque,DECIEM,Masque,éco,argile/BHA,13.8,4.6,4769,4019,6K+ bought in past month,non,B07SZ9PTLP
108,Innisfree Super Volcanic Pore Clay Mask,Innisfree,Masque,moyen,argile volcanique,12.6,4.6,1992,5934,3K+ bought in past month,non,B0CQZ3W88P
109,Origins Clear Improvement Charcoal Mask,Origins,Masque,moyen,charbon,39,4.5,534,27937,400+ bought in past month,non,B07N1TCC7L
110,Neutrogena Hydro Boost Hydrating Mask,Kenvue,Masque,éco,hydratant (hydrogel),35.88,4.3,3736,24688,700+ bought in past month,oui,B076H45H68
111,Laneige Water Sleeping Mask,LANEIGE,Masque,moyen,hydratant nuit,23.1,4.6,585,4498,4K+ bought in past month,non,B0F7ZJQP4K
112,Summer Fridays Jet Lag Mask,Summer Fridays,Masque,premium,hydratant,49,4.6,1056,4404,1K+ bought in past month,oui,B09FYCGF57
113,Drunk Elephant F-Balm Waterfacial,Drunk Elephant,Masque,premium,hydratant nuit,56,4.5,422,168604,,non,B07ZQMX331
114,The Ordinary AHA 30% + BHA 2% Peeling,DECIEM,Masque,éco,peeling fort,9.5,4.6,30603,801,20K+ bought in past month,non,B071D4D5DT
115,Dr Dennis Gross Alpha Beta Daily Peel,Dr. Dennis Gross,Masque,premium,AHA/BHA pads,,4.5,3927,7547,,oui,B074JCCQC6
116,Drunk Elephant T.L.C. Sukari Babyfacial,Drunk Elephant,Masque,premium,AHA/BHA peeling,80,4.5,1054,59827,100+ bought in past month,non,B0GT7NJXV9
117,First Aid Beauty Ultra Repair Oatmeal Mask,First Aid Beauty,Masque,moyen,avoine apaisant,,4.5,741,303625,,oui,B0083S44LM
118,La Roche-Posay Cicaplast Baume B5,La Roche-Posay,Masque,moyen,panthénol/madécassoside,14.23,4.7,21446,68,50K+ bought in past month,non,B0060OUV5Y
119,Dr. Jart+ Cicapair Sheet Mask,Dr.Jart+,Masque,moyen,centella,7,4.5,215,21883,400+ bought in past month,non,B0D2D1VPD4
120,Kiehl's Calendula Petal Calming Mask,Kiehl's Since 1851,Masque,premium,calendula,47,4.5,171,98210,50+ bought in past month,non,B08QFC5NS1
121,The Ordinary Caffeine Solution 5% + EGCG,DECIEM,Contour des yeux,éco,caféine,9.2,4.4,17936,303,30K+ bought in past month,non,B01MUZVE1C
122,CeraVe Eye Repair Cream,CeraVe,Contour des yeux,éco,niacinamide/céramides,12.72,4.3,73806,343,30K+ bought in past month,oui,B00JJPMXDO
123,The INKEY List Caffeine Eye Cream,The INKEY List,Contour des yeux,éco,caféine,7.7,4.0,5773,3267,6K+ bought in past month,non,B07GLNN427
